Primary_Category_Alt,Name,price_range_description,Price,Discount,Description,upload_date_time,Status,Inventory_Level,Reorder_Point,Lead_Time_Days,Supplier,Last_Restock_Date,Discount_Percentage,Total_Revenue,Demand,date,week,lag_1,rolling_mean
Accessories,Bags,High,179.3105945,46.55735361,Bags in Accessories category,07:21.7,Out of Stock,234,22,4,Supplier_9,07:21.7,46.55735361,22423.82851,234,1/6/2023,1,0,0
Shoes,Jeans,Premium,247.3509872,43.16125069,Jeans in Shoes category,07:21.7,Available,100,53,29,Supplier_7,07:21.7,43.16125069,14059.12075,100,10/29/2022,43,0,0
Shoes,Sneakers,Low,13.14073773,31.22560854,Sneakers in Shoes category,07:21.7,Out of Stock,137,50,25,Supplier_9,07:21.7,31.22560854,1238.132349,137,3/29/2022,13,0,0
Women,Jacket,Premium,261.1174828,45.60140899,Jacket in Women category,07:21.7,Available,267,13,21,Supplier_10,07:21.7,45.60140899,35653.10212,251,3/30/2024,13,0,0
Women,Bags,Medium,91.33345716,46.66226014,Bags in Women category,07:21.7,Out of Stock,218,75,12,Supplier_6,07:21.7,46.66226014,10619.91399,218,7/15/2024,29,0,0
Women,Jacket,Low,11.22166286,41.88866959,Jacket in Women category,07:21.7,Out of Stock,211,62,15,Supplier_4,07:21.7,41.88866959,1375.943149,211,10/29/2020,44,0,0
Women,Shirt,High,175.2243183,32.2803286,Shirt in Women category,07:21.7,Out of Stock,42,85,17,Supplier_8,07:21.7,32.2803286,1423.935991,12,7/31/2022,30,0,0
Women,Dress,Premium,314.9668826,14.73135348,Dress in Women category,07:21.7,Out of Stock,187,75,2,Supplier_4,07:21.7,14.73135348,12085.5599,45,10/29/2021,43,0,0
Shoes,Sneakers,High,182.353977,9.560064952,Sneakers in Shoes category,07:21.7,Available,179,20,17,Supplier_3,07:21.7,9.560064952,29520.82648,179,5/19/2024,20,0,0
Accessories,Jacket,Premium,254.4944523,39.77105625,Jacket in Accessories category,07:21.7,Available,176,25,6,Supplier_2,07:21.7,39.77105625,8277.083308,54,8/28/2021,34,0,0
Accessories,Jacket,Low,16.6956338,43.97435072,Jacket in Accessories category,07:21.7,Available,143,93,22,Supplier_8,07:21.7,43.97435072,1337.598725,143,5/15/2023,20,0,0
Home,Dress,Medium,98.80774026,30.06941791,Dress in Home category,07:21.7,Out of Stock,467,61,17,Supplier_3,07:21.7,30.06941791,19968.98327,289,6/10/2022,23,0,0
Women,Dress,High,177.2282805,8.156108446,Dress in Women category,07:21.7,Out of Stock,18,41,2,Supplier_4,07:21.7,8.156108446,2929.920296,18,7/29/2024,31,0,0
Shoes,Shirt,Medium,43.94621763,40.72676964,Shirt in Shoes category,07:21.7,Available,107,53,14,Supplier_4,07:21.7,40.72676964,2787.172681,107,6/21/2022,25,0,0
Kids,Sneakers,Low,28.53043159,37.1426657,Sneakers in Kids category,07:21.7,Available,319,11,22,Supplier_3,07:21.7,37.1426657,3604.627221,201,4/16/2024,16,0,0
Men,Shirt,Premium,200.7727965,11.07016809,Shirt in Men category,07:21.7,Available,445,66,4,Supplier_7,07:21.7,11.07016809,67312.18522,377,3/15/2023,11,0,0
Accessories,Jacket,High,187.9347538,49.41940936,Jacket in Accessories category,07:21.7,Out of Stock,463,80,17,Supplier_1,07:21.7,49.41940936,18061.11661,190,5/5/2022,18,0,0
Kids,Jacket,Low,23.64075557,28.15210749,Jacket in Kids category,07:21.7,Available,429,73,22,Supplier_3,07:21.7,28.15210749,2581.778467,152,4/2/2024,14,0,0
Women,Sneakers,Premium,232.208351,32.32806649,Sneakers in Women category,07:21.7,Available,87,21,6,Supplier_6,07:21.7,32.32806649,13671.16964,87,10/7/2020,41,0,0
Women,Sneakers,Low,23.92895757,19.62495508,Sneakers in Women category,07:21.7,Out of Stock,441,29,2,Supplier_1,07:21.7,19.62495508,4346.63775,226,7/8/2024,28,0,0
